,job_title,city,Description
131,SAP Vendor Invoice Management Berater*in (VIM),"Berlin, Bielefeld, Dortmund, Göttingen, Hamburg, Heidelberg, Köln, München, Pforzheim, Stuttgart","NTT DATA Business Solutions AG - Als Teil der globalen NTT DATA Gruppe, einem der erfolgreichsten IT-Dienstleister der Welt, sind wir als NTT Business Solutions auf wertschöpfende SAP-Lösungen spezialisiert. Get empowered by NTT Business Solutions! Wir sind davon überzeugt, dass Diversity für ein starkes innovatives Unternehmen wie NTT Business Solutions unerlässlich ist, daher möchten wir gerne möglichst viele unterschiedliche Menschen für uns begeistern."
132,Inhouse (Junior) Consultant im SAP Managed Cloud - Umfeld (w/m/d),"Bautzen, Bielefeld, Dortmund, Dresden","NTT DATA Business Solutions AG - Als Teil der globalen NTT DATA Gruppe, einem der erfolgreichsten IT-Dienstleister der Welt, sind wir als NTT Business Solutions auf wertschöpfende SAP-Lösungen spezialisiert. Get empowered by NTT Business Solutions! Wir sind davon überzeugt, dass Diversity für ein starkes innovatives Unternehmen wie NTT Business Solutions unerlässlich ist, daher möchten wir gerne möglichst viele unterschiedliche Menschen für uns begeistern."
133,SAP Berater*in FI/CO/PS,"Bielefeld, Dortmund, Göttingen, Hamburg, Köln, Oldenburg","NTT DATA Business Solutions AG - Als Teil der globalen NTT DATA Gruppe, einem der erfolgreichsten IT-Dienstleister der Welt, sind wir als NTT Business Solutions auf wertschöpfende SAP-Lösungen spezialisiert. Get empowered by NTT Business Solutions! Wir sind davon überzeugt, dass Diversity für ein starkes innovatives Unternehmen wie NTT Business Solutions unerlässlich ist, daher möchten wir gerne möglichst viele unterschiedliche Menschen für uns begeistern."
134,IT System Engineer Linux / DevOps (f/m/d),"deutschlandweit (bevorzugt Dresden, Bautzen, Berlin, Bielefeld)","NTT DATA Business Solutions AG - Als Teil der globalen NTT DATA Gruppe, einem der erfolgreichsten IT-Dienstleister der Welt, sind wir als NTT Business Solutions auf wertschöpfende SAP-Lösungen spezialisiert. In unseren Centern betreuen wir ca. 8.000 Server und definieren den OS-Standard. Dann gestalte mit uns aktiv die digitale Transformation und betreue weltweit die IT-Landschaften unserer Kunden in unseren hochmodernen Centern. Get empowered by NTT Business Solutions! Wir sind davon überzeugt, dass Diversity für ein starkes innovatives Unternehmen wie NTT Business Solutions unerlässlich ist, daher möchten wir gerne möglichst viele unterschiedliche Menschen für uns begeistern."
135,"SAP Berater*in Logistik - Module: MM, SD, PP, QM oder VC","Bielefeld, Dortmund, Göttingen, Hamburg, Köln, Oldenburg","NTT DATA Business Solutions AG - Als Teil der globalen NTT DATA Gruppe, einem der erfolgreichsten IT-Dienstleister der Welt, sind wir als NTT Business Solutions auf wertschöpfende SAP-Lösungen spezialisiert. Get empowered by NTT Business Solutions! Wir sind davon überzeugt, dass Diversity für ein starkes innovatives Unternehmen wie NTT Business Solutions unerlässlich ist, daher möchten wir gerne möglichst viele unterschiedliche Menschen für uns begeistern."
136,SAP Berater*in SuccessFactors - Human Capital Management,"Berlin, Bielefeld, Dortmund, Göttingen, Hamburg, Heidelberg, Köln, München, Pforzheim, Stuttgart","NTT DATA Business Solutions AG - Als Teil der globalen NTT DATA Gruppe, einem der erfolgreichsten IT-Dienstleister der Welt, sind wir als NTT Business Solutions auf wertschöpfende SAP-Lösungen spezialisiert. Get empowered by NTT Business Solutions! Wir sind davon überzeugt, dass Diversity für ein starkes innovatives Unternehmen wie NTT Business Solutions unerlässlich ist, daher möchten wir gerne möglichst viele unterschiedliche Menschen für uns begeistern."
137,(Senior) Inhouse ABAP Entwickler (w/m/d),"Bautzen, Berlin, Bielefeld, Dresden, Dortmund, Göttingen, Heidelberg, Hamburg, Jena, Köln, München","NTT DATA Business Solutions AG - Als Teil der globalen NTT DATA Gruppe, einem der erfolgreichsten IT-Dienstleister der Welt, sind wir als NTT Business Solutions auf wertschöpfende SAP-Lösungen spezialisiert. ■ Betrieb und Weiterentwicklung der globalen NTT Business Solutions Kundenportal- & Service Desk-Anwendung auf Basis des SAP Solution Manager - Get empowered by NTT Business Solutions!"
138,Junior Berater*in SAP Security,"Berlin, Bielefeld, Dortmund, Göttingen, Hamburg, Heidelberg, Jena, Köln, München und weitere","NTT DATA Business Solutions AG - Als Teil der globalen NTT DATA Gruppe, einem der erfolgreichsten IT-Dienstleister der Welt, sind wir als NTT Business Solutions auf wertschöpfende SAP-Lösungen spezialisiert. Get empowered by NTT Business Solutions! Wir sind davon überzeugt, dass Diversity für ein starkes innovatives Unternehmen wie NTT Business Solutions unerlässlich ist, daher möchten wir gerne möglichst viele unterschiedliche Menschen für uns begeistern."
139,Spezialist (m/w/d) Microsoft 365 / SharePoint,Verl,"Beckhoff Automation GmbH & Co. KG * Verl * Feste Anstellung * Vollzeit - Beckhoff Automation ist einer der weltweit führenden Spezialisten für Automatisierungs- und Steuerungstechnik. Als inhabergeführtes Familienunternehmen realisieren wir seit 1980 innovative Automatisierungssysteme auf der Grundlage PC-basierter Steuerungstechnik. Heute erwirtschaften wir mit rund 5.000 Mitarbeitern auf der ganzen Welt einen Umsatz von über 1,182 Mrd. Euro. Unsere einzigartige Unternehmenskultur ist geprägt durch eine familiäre Atmosphäre und bietet viel Freiraum für die Umsetzung eigener Ideen. Das sorgt für eine hohe Zufriedenheit und viel Spaß bei der Arbeit. Wer sich einmal für Beckhoff entscheidet, bleibt oft ein ganzes Berufsleben lang. Für unsere Unternehmenszentrale in Verl suchen wir ab sofort Verstärkung. Tätigkeitsbereich"
140,Duales Studium Digitale Technologien (B.Eng.),Gütersloh,"Im Rahmen des Studiums lernst du zudem aktuelle IT-Technologien, Methoden des Data Engineering und Data Science und Grundlagen der Betriebswirtschaftslehre kennen * Sehr großes technisches Interesse, insbesondere für die Bereiche Automatisierungstechniken, Diagnose und Predictive Maintenance, Smart Services und Devices, Maschine Learning sowie -Analytics"
141,System Engineer Storage / NAS (m/w/d),Gütersloh,Hohes Know-how über die ONTAP Versionen Clustered Data ONTAP
142,(Senior) SAP Basis Administrator*in,"Bautzen, Berlin, Bielefeld, Dresden, Dortmund, Göttingen, Heidelberg, Hamburg, Jena, Köln, München","NTT DATA Business Solutions AG - Als Teil der globalen NTT DATA Gruppe, einem der erfolgreichsten IT-Dienstleister der Welt, sind wir als NTT Business Solutions auf wertschöpfende SAP-Lösungen spezialisiert. Get empowered by NTT Business Solutions! Wir sind davon überzeugt, dass Diversity für ein starkes innovatives Unternehmen wie NTT Business Solutions unerlässlich ist, daher möchten wir gerne möglichst viele unterschiedliche Menschen für uns begeistern."
143,SAP Projektleiter*in / Program Manager - Transformation (w/m/d),"Bautzen, Berlin, Bielefeld, Dresden, Dortmund, Göttingen, Heidelberg, Hamburg, Jena, Köln, München","NTT DATA Business Solutions AG - Als Teil der globalen NTT DATA Gruppe, einem der erfolgreichsten IT-Dienstleister der Welt, sind wir als NTT Business Solutions auf wertschöpfende SAP-Lösungen spezialisiert. Hierzu zählen u.a. System Consolidation, Carve-out, Merger, Selective Transition, Migration, Reorganisation, Cleansing, Harmonization & Retention."
144,System Engineer Storage / NAS (m/w/d),Gütersloh,Hohes Know-how über die ONTAP Versionen Clustered Data ONTAP
145,Controller (m/w/d) Projektmanagement,Verl,Affinität zu Data Management und Data Analysis sowie zu statistischen Methoden
146,Digitization Administrator (m/w/d),Soest,"First experience in IDC [intelligent data capture, String Manipulation, REGEX] Data Analytics"
147,Senior Solution Advisor / Solution Architect (w/m/d),"Berlin, Bielefeld, Dortmund, Göttingen, Hamburg, Heidelberg, Köln, München, Pforzheim, Stuttgart","NTT DATA Business Solutions AG - Als Teil der globalen NTT DATA Gruppe, einem der erfolgreichsten IT-Dienstleister der Welt, sind wir als NTT Business Solutions auf wertschöpfende SAP-Lösungen spezialisiert. Get empowered by NTT Business Solutions! Wir sind davon überzeugt, dass Diversity für ein starkes innovatives Unternehmen wie NTT Business Solutions unerlässlich ist, daher möchten wir gerne möglichst viele unterschiedliche Menschen für uns begeistern."
148,Informatiker für das IT-System Operating (m/w/d),Gütersloh,"Support und Überwachung der Systeme, Services und Applikationen unserer Kunden (in den Arvato Systems Centern, in der Cloud oder remote bei unseren Kunden vor Ort)"
149,Cloud Developer Java (m/w/d),"Gütersloh, Home Office",Cloud Native Development ist für Dich schon heute der Weg zum Erfolg und Du hast keine Angst vor Transparenz in einem Driven Umfeld.
150,Mathematiker/Mathematikerin / Physiker/Physikerin für die Unternehmensberatung (w/m/d),"Augsburg, Berlin, Bielefeld, Bremen, Stuttgart, Dortmund, Düsseldorf, Frankfurt, Dresden, Essen","Big Data bereitet Dir keine Kopfschmerzen, Du erkennst mithilfe von Data Mining, Predictive Analytics und Machine Learning Methoden Muster und leitest daraus Prognosen für die Zukunft ab."
151,Senior Presales Consultant Managed Cloud (f/m/d),"Bautzen, Berlin, Bielefeld, Dresden, Dortmund, Göttingen, Heidelberg, Hamburg, Jena, Köln, München","NTT DATA Business Solutions AG - Als Teil der globalen NTT DATA Gruppe, einem der erfolgreichsten IT-Dienstleister der Welt, sind wir als NTT Business Solutions auf wertschöpfende SAP-Lösungen spezialisiert. Get empowered by NTT Business Solutions! Wir sind davon überzeugt, dass Diversity für ein starkes innovatives Unternehmen wie NTT Business Solutions unerlässlich ist, daher möchten wir gerne möglichst viele unterschiedliche Menschen für uns begeistern."
152,Assistenz der Standortleitung / Junior Expert Logistik (m/w/x),Hamm,"IT-Affinität, Kenntnisse im Bereich Data, Cloud o. ä. wünschenswert"
153,IT Inhouse Consultant (m/f/d) Security,Bielefeld,"Within your role, you are responsible for implementing necessary interfaces and tools for data integration and reporting of IT security incidents and occurrences."
154,Technischer Release Manager für SAP Transportmanagement (w/m/d),"Berlin, Bielefeld, Bautzen, Dresden, Hamburg, Heidelberg, Köln, München, Pforzheim, Stuttgart","NTT DATA Business Solutions AG - Als Teil der globalen NTT DATA Gruppe, einem der erfolgreichsten IT-Dienstleister der Welt, sind wir als NTT Business Solutions auf wertschöpfende SAP-Lösungen spezialisiert. Get empowered by NTT Business Solutions! Wir sind davon überzeugt, dass Diversity für ein starkes innovatives Unternehmen wie NTT Business Solutions unerlässlich ist, daher möchten wir gerne möglichst viele unterschiedliche Menschen für uns begeistern."
155,Smart Factory Key-User *,Detmold,"Weiterentwicklung, Support und Administration werksinterner digitaler Prozesse (MES, SCADA, IIoT, Data Analytics)"
156,Bid Manager - Global Managed Services (f/m/d),"Berlin, Bielefeld, Bautzen, Dresden, Hamburg, Heidelberg, Köln, München, Pforzheim, Stuttgart","NTT DATA Business Solutions AG - Als Teil der globalen NTT DATA Gruppe, einem der erfolgreichsten IT-Dienstleister der Welt, sind wir als NTT Business Solutions auf wertschöpfende SAP-Lösungen spezialisiert. Get empowered by NTT Business Solutions! Wir sind davon überzeugt, dass Diversity für ein starkes innovatives Unternehmen wie NTT Business Solutions unerlässlich ist, daher möchten wir gerne möglichst viele unterschiedliche Menschen für uns begeistern."
157,Senior Client Partner Manager (w/m/d),"Berlin, Bielefeld, Dortmund, Göttingen, Hamburg, Heidelberg, Köln, München, Pforzheim, Stuttgart","NTT DATA Business Solutions AG - Als Teil der globalen NTT DATA Gruppe, einem der erfolgreichsten IT-Dienstleister der Welt, sind wir als NTT Business Solutions auf wertschöpfende SAP-Lösungen spezialisiert. Get empowered by NTT Business Solutions! Wir sind davon überzeugt, dass Diversity für ein starkes innovatives Unternehmen wie NTT Business Solutions unerlässlich ist, daher möchten wir gerne möglichst viele unterschiedliche Menschen für uns begeistern."
158,Controller (m/w/d),Rietberg,"Heinrich Kühlmann GmbH & Co. KG * Rietberg * Feste Anstellung * Vollzeit - Mit Kreativität und einer Unternehmensführung, die sich an den Menschen orientiert, haben wir uns zum Marktführer im Segment 'Frische Antipasti' und zu einem der führenden Feinkost-Hersteller in Deutschland entwickelt. Das Fundament für unseren Erfolg sind über 650 Mitarbeiter mit Hand und Herz, Sachverstand und viel Liebe zum Detail. Unsere Kunden schätzen die Qualität unserer Produkte sowie die persönliche Note unseres Familienunternehmens. Für unseren Standort in Westerwiehe suchen wir einen motivierten Teamplayer als Controller (m/w/d) mit Teamgeist und Hands-on-Mentalität * Durchführung des Produktions- und Logistik-Controllings mit einem hohen Maß an Eigenverantwortung * Erstellung von Kalkulationen unter Berücksichtigung von terminlichen Vorgaben"
159,Administrativer Business Partner (m/w/d) – Schwerpunkt Controlling,Hamm,Sourcing und Anlage von neuen Lieferanten über Global Masterdata Form
160,Key Account Manager (m/w/d) Automatisierung und Digitalisierung,"Bielefeld, Paderborn, Hannover, Minden, Osnabrück","In enger Abstimmung mit den (m/w/d) erarbeiten Sie Lösungsangebote und Mehrwerte für Ihre Kundenunternehmen (z.B. in den Bereichen Produktionstechnik, Automatisierung, Big Maschinelles Lernen) * Weiterhin verfügen Sie über eine hohe Leidenschaft für Themen rund um Digitalisierung, Automatisierung, Industrie 4.0, künstliche Intelligenz, Big etc."
