,job_title,publish,company_name,city,Description
20,Data Scientist (w/m/d),vor 2 Wochen,Kienbaum Consultants International GmbH - Zentrale,bundesweit,Das Team “Data Science and Data Management” verantwortet den gesamten Datenverarbeitungsprozess von der Datenerhebung bis hin zur Erstellung von digitalen Produkten.
21,Data Architect (gn),vor 3 Tagen,SoftwareONE Deutschland GmbH,"Home-Office, Leipzig, Berlin, Hamburg","Unser Team ist ein Mix aus Data Architects, Data Scientists und Application Architects. Die rasante Entwicklung von neuen Technologien und Rechenkapazitäten bietet dabei ständig neue Möglichkeiten, die wir für unsere Kunden in den Bereichen Digital Advisory, Solution Architecture oder Analytics nutzen. Als Architect (gn) wirst du Teil unseres 10-köpfigen Advisory-Teams. Wir beraten Größen aus allen Branchen zu Lakes, Warehousing, BI & AI Analytics, Big eben alles rund um als Basis für valide Business Entscheidungen und bieten damit immer spannende neue Projektumfelder, ob Beratung, Proof-of-Concept oder MVP. * Definition und Kontrolle der Governance liegen in deinen Händen. * Deine"
22,Software Engineer – Data Science & Data Management w/m/d,vor 1 Woche,Kienbaum Consultants International GmbH - Zentrale,bundesweit,"Dabei arbeitest Du in interdisziplinären Teams aus Data Scientists, Data Engineers, Anwendungsentwickler:innen, IT Operations und Produktmanager:innen. Software Engineer – Science & Management w/m/d - Das Team „ Science and Management“ verantwortet den gesamten Datenverarbeitungsprozess von der Datenerhebung bis hin zur Erstellung von digitalen Produkten."
23,Senior Clinical Scientist (Translational Medicine Expert) (f/m/d),vor 2 Wochen,CureVac SE,Rhein-Main-Gebiet,"Discuss plans and data with and integrate their advice to achieve and maintain excellence in the field * Provide analysis, interpretation and integration of immunomonitoring/ biomarker into regulatory documents/ study reports and publications * Managing projects involving clinical sample/ analyses conducted at contractors or academic collaborators"
24,"Senior Manager, Data Science - Adtech (f/m/d)",vor 1 Woche,Delivery Hero SE,bundesweit,"We are looking for a Senior Manager, Ad Tech Data Science (f/m/d) who can help lead the strategy and build a team for Delivery Hero's new Ad Tech revenue stream. If you have significant experience with science and personalization algorithms and want to build a team that will impact the global food delivery market, this is the right position for you. * Lead a team of and manage relationships with product and business counterparts to build well-crafted, pragmatic products * Improve the efficiency and agility of machine learning, computational, and processing pipelines * 7+ years of experience in science, especially in internet companies; significant work experience in Ad Tech is equally valuable."
25,Fullstack Senior Software Engineer (m/w/d),vor 1 Woche,IU Internationale Hochschule,deutschlandweit,"You develop new automation tools to extend our learning media databases in collaboration with our AI product owners, domain experts and key users - We are passionate, competitive, open to everything new - and we love"
26,(Junior/Senior) Business Analyst (w/m/d),vor 6 Tagen,ALTER SOLUTIONS Deutschland GmbH,"Düsseldorf, Münster, München, Hamburg, Berlin, bundesweit ( Home-Office)","Jeder einzelne unserer über 60 Agile Consultants, DevOps Engineers, UI Designer, Java Developer, Cloud Architekten, Test Automatisierer, IoT Experten, Ethical Hacker, Penetration Tester und ist für uns der wichtigste und wertvollste Mitarbeiter."
27,DataOps Engineer (m/f/d),vor 2 Wochen,Vaillant Group Business Services GmbH,"Remscheid, Home-Office","You contribute to the constant extension and improvement of the data hub infrastructure and work close with and engineers to understand their needs and requirements * You are part of a growing agile community creating the backbone for the digital future of Vaillant * As a member of a newly build team, you support the development and operation of a hub and corresponding interfaces and loads * You are responsible for the implementation, automation, operation and further development of processing pipeline and integrations * Furthermore, you design the integration architecture and infrastructure together with the architects and integrate it in the existing setup * You have been exposed to the"
28,Field Service Engineer (m/f/d),vor 1 Woche,Bruker Nano GmbH,"bundesweit, Österreich","Bruker is enabling scientists to make breakthrough discoveries and develop new applications that improve the quality of human life. * Good computer literacy, including familiarity with system hardware and industry standard operating systems"
29,Service Territory Manager in CEE-ME (m/f/d),vor 1 Woche,Bruker BioSpin GmbH,"Home-Office, bundesweit","Bruker is enabling scientists to make breakthrough discoveries and develop new applications that improve the quality of human life. * Deploying 12 – 15 people, technology, analytics and analysis to enable customers to derive maximum value from their products and services and create a revenue-generating aftermarket business"
30,Junior DevOps Engineer (m/w/d),vor 4 Wochen,Bildungsinnovator,"Home-Office, Düsseldorf, Kleve","Bildungsinnovator * Home-Office, Düsseldorf, Kleve * Feste Anstellung * Home Office möglich,Vollzeit (Junior) Cloud Engineer DevOps (m/w/d) Für unsere Standorte Düsseldorf und Kleve oder aus dem Home-Office - DU WILLST BEI DER ENTWICKLUNG DER LERNKARTEN MIT ANPACKEN – ohne Druck durch Deadlines, sondern bedarfsorientiert und gut durchdacht? Gemeinsam mit unserem agilen Entwicklerteam arbeitest Du an der Weiterentwicklung unseres Produktes „LXT“ – einer Lernplattform inkl. CMS für Unternehmen die Lerninhalte bereitstellen. Dabei sind der Einsatz aktueller Technologien und wirksamer Methoden für Dich genauso selbstverständlich wie Spaß bei der Arbeit. Direkte Kommunikation und Zusammenarbeit sind uns wichtig – genauso wie Deine Work-Life-Balance. Aus diesem Grund bieten wir Dir die Flexibilität zu arbeiten, wo du möchtest."
